elo_rank,name,player_url,age,elo_rating,hard_elo_rank,hard_elo,clay_elo_rank,clay_elo,grass_elo_rank,grass_elo,peak_elo,peak_month,atp_rank,log_diff,fetch_time,wta_rank,tour
1,Carlos Alcaraz,https://www.tennisabstract.com/cgi-bin/player.cgi?p=CarlosAlcaraz,22.4,2268.4,2,2178.3,1,2214.5,1,2137.6,2296.4,2025-09,1.0,0.0,2025-11-10T15:01:34.241825,,
2,Jannik Sinner,https://www.tennisabstract.com/cgi-bin/player.cgi?p=JannikSinner,24.1,2267.6,1,2218.2,2,2141.1,2,2062.2,2329.6,2025-01,2.0,0.0,2025-11-10T15:01:34.242031,,
3,Novak Djokovic,https://www.tennisabstract.com/cgi-bin/player.cgi?p=NovakDjokovic,38.4,2089.9,3,2041.6,3,1997.4,3,1950.2,2463.2,2016-05,4.0,-0.29,2025-11-10T15:01:34.242218,,
4,Alexander Zverev,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexanderZverev,28.5,2046.1,4,2003.4,4,1995.7,5,1878.0,2176.5,2022-01,3.0,0.29,2025-11-10T15:01:34.242482,,
5,Taylor Fritz,https://www.tennisabstract.com/cgi-bin/player.cgi?p=TaylorFritz,27.9,2034.0,5,1978.6,9,1899.5,4,1941.1,2070.2,2025-09,6.0,-0.18,2025-11-10T15:01:34.242703,,
6,Alex De Minaur,https://www.tennisabstract.com/cgi-bin/player.cgi?p=AlexDeMinaur,26.6,2011.0,6,1963.2,8,1902.7,9,1841.4,2053.1,2024-06,7.0,-0.15,2025-11-10T15:01:34.242902,,
7,Ben Shelton,https://www.tennisabstract.com/cgi-bin/player.cgi?p=BenShelton,23.0,1976.2,9,1928.8,14,1854.4,10,1803.7,2024.4,2025-08,5.0,0.34,2025-11-10T15:01:34.243098,,
8,Felix Auger Aliassime,https://www.tennisabstract.com/cgi-bin/player.cgi?p=FelixAugerAliassime,25.2,1975.7,7,1944.8,13,1858.8,12,1789.1,2062.7,2022-10,8.0,0.0,2025-11-10T15:01:34.243292,,
9,Daniil Medvedev,https://www.tennisabstract.com/cgi-bin/player.cgi?p=DaniilMedvedev,29.7,1968.5,8,1934.5,10,1899.0,6,1863.3,2201.2,2022-01,13.0,-0.37,2025-11-10T15:01:34.243497,,
10,Lorenzo Musetti,https://www.tennisabstract.com/cgi-bin/player.cgi?p=LorenzoMusetti,23.6,1968.0,14,1882.8,5,1978.4,7,1850.0,2050.5,2025-05,9.0,0.11,2025-11-10T15:01:34.243684,,
